                               name                    recclass
376                     High Possil                          L6
377                       Hiroshima                          H5
378                           Hoima                          H6
379                         Hökmark                          L4
380                        Holbrook                       L/LL6
381                         Holetta                  Stone-uncl
382                       Homestead                          L5
383                        Honolulu                          L5
384                           Hotse                          L6
385                           Hoxie                          OC
386                       Hraschina                   Iron, IID
387                           Huaxi                          H5
388                          Hungen                          H6
389                         Hvittis                         EL6
390                      Ibbenbüren                   Diogenite
391                         Ibitira               Eucrite-mmict
392                         Ibrisim                          OC
393                         Ichkala                          H6
394                         Idutywa                          H5
395                        Iguaracu                          H5
396                         Ijopega                          H6
397                         Indarch                         EH4
398                    Independence                          L6
399                  Inner Mongolia                          L6
400                       Innisfree                          L5
401                        Ipiranga                          H6
402                         Ishinga                           H
403                       Isthilart                          H5
404                 Itapicuru-Mirim                          H5
405                           Itqiy                      EH7-an
406                           Ivuna                         CI1
407                  Jackalsfontein                          L6
408               Jajh deh Kot Lalu                         EL6
409                        Jalanash                    Ureilite
410                       Jalandhar                        Iron
411                        Jamkheir                          H6
412                          Jartai                          L6
413                          Jelica                         LL6
414                        Jemlapur                          L6
415                        Jesenice                          L6
416                           Jhung                          L5
417                          Jiange                          H5
418                         Jianshi                 Iron, IIIAB
419                           Jilin                          H5
420                          Jodiya                          L5
421                          Jodzie                   Howardite
422                       Johnstown                   Diogenite
423                         Jolomba                         LL6
424                          Jonzac               Eucrite-mmict
425                       Juancheng                          H5
426                      Judesegeri                          H6
427                        Jumapalo                          L6
428                           Junan                          L6
429                       Juromenha                 Iron, IIIAB
430                         Juvinas               Eucrite-mmict
431                            Kaba                         CV3
432                            Kabo                          H4
433                         Kadonah                          H6
434                            Kaee                          H5
435                        Kagarlyk                          L6
436                          Kaidun                         CR2
437                         Kainsaz                       CO3.2
438                       Kakangari                          K3
439                          Kakowa                          L6
440                          Kalaba                          H4
441                         Kalumbi                          L6
442                        Kamalpur                          L6
443                         Kamiomi                          H5
444                        Kamsagar                          L6
445          Kandahar (Afghanistan)                          L6
446                         Kangean                          H5
447                   Kangra Valley                          H5
448                         Kapoeta                   Howardite
449                         Kaprada                        L5/6
450                     Kaptal-Aryk                          L6
451                         Karakol                         LL6
452                          Karatu                         LL6
453                         Karewar                          L6
454                           Karkh                          L6
455                      Karloowala                          L6
456                        Karoonda                         CK4
457                       Kasamatsu                           H
458                         Kasauli                          H4
459                         Katagum                          L6
460                       Kavarpura                Iron, IIE-an
461                        Kayakent                 Iron, IIIAB
462                          Kediri                          L4
463                           Kemer                          L4
464                       Kendleton                          L4
465                      Kendrapara                        H4-5
466                         Kerilis                          H5
467                        Kernouve                          H6
468                           Kesen                          H4
469                        Khairpur                         EL6
470                         Khanpur                         LL5
471                         Kharkov                          L6
472                        Kheragur                          L6
473                          Khetri                          H6
474                       Khmelevka                          L5
475                          Khohar                        L3.6
476                     Khor Temiki                     Aubrite
477                        Kidairat                          H6
478                            Kiel                          L6
479                           Kiffa                          H5
480                   Kijima (1906)                  Stone-uncl
481                          Kikino                          H6
482                          Kilabo                         LL6
483                        Kilbourn                          H5
484                        Killeter                          H6
485                          Kingai                          H6
486                      Kirbyville               Eucrite-mmict
487                      Kisvarsány                          L6
488                       Kitchener                          L6
489                    Klein-Wenden                          H6
490                       Knyahinya                       L/LL5
491                            Kobe                         CK4
492                       Kokubunji                          L6
493                        Komagome                        Iron
494                          Konovo                         LL5
495                          Košice                          H5
496                      Krähenberg                         LL5
497                    Krasnoi-Ugol                          L6
498                  Krasnyi Klyuch                          H5
499                        Krutikha                          OC
500                          Krymka                       LL3.2
501                        Kukschin                          L6
502                           Kulak                          L5
503                     Kuleschovka                          L6
504                            Kulp                          H6
505                        Kunashak                          L6
506                   Kunya-Urgench                          H5
507                        Kushiike                          OC
508                         Kusiali                          L6
509                          Kutais                          H5
510                     Kuttippuram                          L6
511                      Kuznetzovo                          L6
512                          Kyushu                          L6
513                      La Bécasse                          L6
514                       La Charca                          OC
515                       La Colina                          H5
516                      La Criolla                          L6
517                         Laborel                          H5
518                        Lahrauli                    Ureilite
519                         L'Aigle                          L6
520             Cumulus Hills 04075                   Pallasite
521                       Lakangaon               Eucrite-mmict
522                        Lalitpur                          L6
523                           Lancé                       CO3.5
524                          Lancon                          H6
525                      Långhalsen                          L6
526                           Lanxi                          L6
527                   Lanzenkirchen                          L4
528                     Laochenzhen                          H5
529                         Launton                          L6
530                    Lavrentievka                          L6
531                     Le Pressoir                          H5
532                     Le Teilleul                   Howardite
533                          Leedey                          L6
534                    Leeuwfontein                          L6
535                  Leighlinbridge                          L6
536                        Leighton                          H5
537                        Leonovka                          L6
538                       Les Ormes                          L6
539                          Lesves                          L6
540                     Lichtenberg                          H6
541                      Lillaverke                          H5
542                        Limerick                          H5
543                           Linum                          L6
544                          Lishui                          L5
545                           Lissa                          L6
546                    Little Piney                          L5
547                           Lixna                          H4
548                          Lodran                   Lodranite
549                         Lohawat                   Howardite
550                          Lorton                          L6
551                    Los Martinez                          L6
552                       Lost City                          H5
553                      Louisville                          L6
554                          Łowicz             Mesosiderite-A3
555                             Lua                          L5
556                            Lucé                          L6
557                         Lumpkin                          L6
558                           Lunan                          H6
559                       Lundsgård                          L6
560                        Luotolax                   Howardite
561                        Luponnas                        H3-5
562                          Lusaka                     Unknown
563                    Mabwe-Khoywa                          L5
564                           Macau                          H5
565                        Machinga                          L6
566                        Macibini               Eucrite-pmict
567                       Madhipura                           L
568                          Madiun                          L6
569                          Madrid                          L6
570                           Mafra                        L3-4
571                        Magnesia               Iron, IAB-sHL
572                      Magombedze                        H3-5
573                      Mahadevpur                        H4/5
574               Maigatari-Danduma                        H5/6
575                          Malaga                          OC
576                         Malakal                          L5
577                       Malampaka                           H
578                         Malotas                          H5
579                         Malvern               Eucrite-pmict
580                   Mamra Springs                          L6
581                        Manbhoom                         LL6
582                        Manegaon                   Diogenite
583                       Mangwendi                         LL6
584                          Manych                       LL3.4
585                          Mardan                          H5
586                    Maria Linden                          L4
587                      Mariaville                        Iron
588                          Maribo                         CM2
589                          Maridi                          H6
590                         Marilia                          H4
591                   Marion (Iowa)                          L6
592                      Marjalahti              Pallasite, PMG
593                        Marmande                          L5
594                      Maromandia                          L6
595                       Maryville                          L6
596                       Mascombes                          L6
597                     Mason Gully                          H5
598                         Mässing                   Howardite
599                    Mauerkirchen                          L6
600                       Mauritius                          L6
601                      Mayo Belwa                     Aubrite
602                         Mazapil               Iron, IAB-sLL
603                          Maziba                          L6
604                           Mbale                        L5/6
605                       Medanitos                  Eucrite-cm
606                          Meerut                          H5
607                Meester-Cornelis                          H5
608                           Menow                          H4
609                       Menziswyl                          L5
610                            Mern                          L6
611                            Meru                         LL6
612                           Merua                          H5
613                         Messina                          L5
614                      Meuselbach                          L6
615                           Mezel                          L6
616                    Mezö-Madaras                        L3.7
617                            Mhow                          L6
618                         Mianchi                          H5
619                   Middlesbrough                          L6
620                         Mifflin                          L5
621                          Mighei                         CM2
622                      Mihonoseki                          L6
623                            Mike                          L6
624                          Milena                          L6
625                   Millbillillie               Eucrite-mmict
626               Miller (Arkansas)                          H5
627                        Minamino                           L
628                           Mineo                   Pallasite
629                    Min-Fan-Zhun                         LL6
630                      Minnichhof                          OC
631                        Mirzapur                          L5
632                         Misshof                          H5
633                        Mjelleim                           H
634                            Mocs                        L5-6
635                    Modoc (1905)                          L6
636                          Mokoia                         CV3
637                          Molina                          H5
638                         Molteno                   Howardite
639                 Monahans (1998)                          H5
640                          Monroe                          H4
641                Monte das Fortes                          L5
642                    Monte Milone                          L5
643                       Montferré                          H5
644                     Montlivault                          L6
645                           Monze                          L6
646                    Moore County                  Eucrite-cm
647                      Mooresfort                          H5
648                        Moorleah                          L6
649                       Moradabad                          L6
650                         Morávka                          H5
651                         Mornans                          H5
652                            Moss                       CO3.6
653                   Moti-ka-nagla                          H6
654                  Motta di Conti                          H4
655                    Mount Browne                          H6
656                 Mount Tazerzait                          L5
657                     Mount Vaisi                  Stone-uncl
658                           Mtola                  Stone-uncl
659                         Muddoor                          L5
660                       Mulletiwu                           L
661                          Muraid                          L6
662                       Murchison                         CM2
663                          Murray                         CM2
664                     Muzaffarpur               Iron, IAB-sHL
665                    Myhee Caunta                          OC
666                      Nadiabondi                          H5
667                           Nagai                          L6
668                         Nagaria                  Eucrite-cm
669                     Nagy-Borové                          L5
670                          Nakhla          Martian (nakhlite)
671                   Nakhon Pathom                          L6
672                     Nammianthal                          H5
673                    Nan Yang Pao                          L6
674                        Nanjemoy                          H6
675                         Nantong                          H6
676                           Naoki                          H6
677                          Naragh                          H6
678                        Narellan                          L6
679                           Narni                  Stone-uncl
680                        Nassirah                          H4
681                           Natal                  Stone-uncl
682                        Nawapali                         CM2
683                         Neagari                          L6
684                       Nedagolla             Iron, ungrouped
685                            Nejo                          L6
686                           Nerft                          L6
687                  Neuschwanstein                         EL6
688                     New Concord                          L6
689                       New Halfa                          L4
690                     New Orleans                          H5
691                           Ngawi                       LL3.6
692                      N'Goureyma             Iron, ungrouped
693                         Nicorps                  Stone-uncl
694                      Niger (L6)                          L6
695                     Niger (LL6)                         LL6
696                      Nikolaevka                          H4
697                       Nikolskoe                          L4
698                          Ningbo                   Iron, IVA
699                       Ningqiang                      C3-ung
700                             Nio                        H3-4
701                       N'Kandhla                   Iron, IID
